stat_num,Region,stat_name,HUC_code,drain_area,t_scale,record,c_lines,district,state,county,lat_N,lat_dd,long_W,long_dd,datum,NC_area,BI,CCI,snow factor index
1010000,1,"ST. JOHN RIVER AT NINEMILE BRIDGE, ME",1010001,1341.0,D,E,0,ME,ME,3,464200N,46.7,0694259W,-69.71639,931.26,0,,,0.120586929
1010500,1,"ST. JOHN RIVER AT DICKEY, ME",1010001,2680.0,D,E,0,ME,ME,3,470644N,47.11222,0690525W,-69.09028,590.66,0,,,0.057540198
1011000,1,"ALLAGASH RIVER NEAR ALLAGASH, ME",1010002,1229.0,M,E,3,ME,ME,3,470414N,47.07056,0690451W,-69.08083,604.6,0,,,0.133671773
1011500,1,"ST. FRANCIS RIVER NEAR CONNORS, NEW BRUNSWICK",1010001,524.0,D,E,1,ME,NB,7,471225N,47.20694,0685725W,-68.95694,550.0,0,,,0.307828674
1013500,1,"FISH RIVER NEAR FORT KENT, ME",1010003,873.0,D,E,0,ME,ME,3,471414N,47.23722,0683456W,-68.58222,511.38,0,,,0.193217807
1014000,1,"ST. JOHN RIVER BELOW FISH R, AT FORT KENT, ME",1010001,5665.0,D,E,0,ME,ME,3,471527N,47.2575,0683535W,-68.59306,488.81,0,,C,0.027536238
1018000,1,"MEDUXNEKEAG RIVER NEAR HOULTON, ME",1010005,175.0,D,E,0,ME,ME,3,460617N,46.10472,0675200W,-67.86667,333.92,0,,,0.749585832
1021200,1,"DENNYS RIVER AT DENNYSVILLE, ME",1050002,92.9,D,E,0,ME,ME,29,445403N,44.90083,0671456W,-67.24889,54.78,0,,,0.950436808
1021500,1,"MACHIAS RIVER AT WHITNEYVILLE, ME",1050002,457.0,M,E,3,ME,ME,29,444323N,44.72306,0673115W,-67.52083,37.22,0,,,0.194498002
1022500,1,"NARRAGUAGUS RIVER AT CHERRYFIELD, ME",1050002,227.0,D,E,0,ME,ME,29,443629N,44.60806,0675610W,-67.93611,44.2,0,,,0.347740372
1023000,1,"WEST BRANCH UNION RIVER AT AMHERST, ME",1050002,148.0,D,E,0,ME,ME,9,445025N,44.84028,0682222W,-68.37278,160.0,0,,,0.728620409
1030500,1,"MATTAWAMKEAG RIVER NEAR MATTAWAMKEAG, ME",1020003,1418.0,D,E,0,ME,ME,19,453018N,45.505,0681807W,-68.30194,230.0,0,,,0.09366902
1031500,1,"PISCATAQUIS RIVER NEAR DOVER-FOXCROFT, ME",1020004,298.0,D,E,0,ME,ME,21,451031N,45.17528,0691855W,-69.31528,358.47,0,,C,0.456360554
1033500,1,"PLEASANT RIVER NEAR MILO, ME",1020004,324.0,D,E,0,ME,ME,21,451658N,45.28278,0690013W,-69.00361,302.0,0,,,0.401030851
1035000,1,"PASSADUMKEAG RIVER AT LOWELL, ME",1020005,299.0,D,E,0,ME,ME,19,451104N,45.18444,0682829W,-68.47472,151.3,0,,,0.419911517
1038000,1,"SHEEPSCOT RIVER AT NORTH WHITEFIELD, ME",1050003,145.0,D,E,0,ME,ME,15,441323N,44.22306,0693538W,-69.59389,101.05,0,,,0.689460854
1047000,1,"CARRABASSETT RIVER NEAR NORTH ANSON, ME",1030003,353.0,D,E,0,ME,ME,25,445209N,44.86917,0695720W,-69.95556,303.3,0,,,0.399499043
1048000,1,"SANDY RIVER NEAR MERCER, ME",1030003,514.0,D,E,0,ME,ME,25,444226N,44.70722,0695621W,-69.93917,197.1,0,,,0.273698211
1052500,1,"DIAMOND RIVER NEAR WENTWORTH LOCATION, NH",1040001,152.0,D,E,0,ME,NH,7,445240N,44.87778,0710325W,-71.05694,1259.48,0,,,1.182531947
1054200,1,"WILD RIVER AT GILEAD, ME",1040002,69.6,D,E,0,ME,ME,17,442327N,44.39083,0705847W,-70.97972,683.1,0,B,,2.023105396
1055000,1,"SWIFT RIVER NEAR ROXBURY, ME",1040002,96.9,D,E,0,ME,ME,17,443832N,44.64222,0703517W,-70.58806,615.67,0,,,1.587591962
1055500,1,"NEZINSCOT RIVER AT TURNER CENTER, ME",1040002,169.0,D,E,0,ME,ME,1,441610N,44.26944,0701349W,-70.23028,276.29,0,,,0.656918436
1057000,1,"LITTLE ANDROSCOGGIN RIVER NEAR SOUTH PARIS, ME",1040002,75.8,D,E,3,ME,ME,17,441813N,44.30361,0703224W,-70.54,447.0,3,,C,1.478221654
1060000,1,"ROYAL RIVER AT YARMOUTH, ME",1060001,141.0,D,E,2,ME,ME,5,434757N,43.79917,0701045W,-70.17917,10.0,0,,,0.605881337
1064500,1,"SACO RIVER NEAR CONWAY, NH",1060002,385.0,D,E,0,ME,NH,3,435927N,43.99083,0710529W,-71.09139,418.19,0,,,0.447734521
1073000,1,"OYSTER RIVER NEAR DURHAM, NH",1060003,12.1,D,E,0,NH,NH,17,430855N,43.14861,0705756W,-70.96556,70.0,0,,,6.579578669
1075000,1,"PEMIGEWASSET RIVER AT WOODSTOCK, NH",1070001,193.0,D,E,0,NH,NH,9,435834N,43.97611,0714048W,-71.68,615.0,0,,,0.635712949
1076000,1,"BAKER RIVER NEAR RUMNEY, NH",1070001,143.0,D,P,1,NH,NH,9,434746N,43.79611,0715042W,-71.845,495.0,0,,,0.84990627
1076500,1,"PEMIGEWASSET RIVER AT PLYMOUTH, NH",1070001,622.0,D,E,0,NH,NH,9,434533N,43.75917,0714110W,-71.68611,457.07,0,,C,0.209277878
1078000,1,"SMITH RIVER NEAR BRISTOL, NH",1070001,85.8,D,E,0,NH,NH,13,433404N,43.56778,0714454W,-71.74833,449.8,0,,,1.418536486
1086000,1,"WARNER RIVER AT DAVISVILLE, NH",1070003,146.0,D,E,0,NH,NH,13,431506N,43.25167,0714354W,-71.73167,380.0,0,,,0.795350677
1094000,1,"SOUHEGAN RIVER AT MERRIMACK, NH",1070002,171.0,D,E,0,NH,NH,11,425127N,42.8575,0713024W,-71.50667,160.58,0,,,0.600184139
1106000,1,"ADAMSVILLE BROOK AT ADAMSVILLE, RI",1090002,8.01,D,E,0,MA,RI,5,413330N,41.55833,0710747W,-71.12972,15.0,0,,,5.212409765
1111500,1,"BRANCH RIVER AT FORESTDALE, RI",1090003,91.2,D,P,3,RI,RI,7,415947N,41.99639,0713347W,-71.56306,180.0,0,,,0.748615877
1117500,1,"PAWCATUCK RIVER AT WOOD RIVER JUNCTION, RI",1090005,100.0,D,E,0,RI,RI,9,412642N,41.445,0714053W,-71.68139,43.86,0,,C,0.441784977
1117800,1,"WOOD RIVER NEAR ARCADIA, RI",1090005,35.2,D,E,0,RI,RI,9,413426N,41.57389,0714316W,-71.72111,118.2,0,,,1.2963073
1118000,1,"WOOD RIVER AT HOPE VALLEY, RI",1090005,72.4,D,P,3,RI,RI,9,412953N,41.49806,0714301W,-71.71694,61.11,0,,,0.552325841
1118500,1,"PAWCATUCK RIVER AT WESTERLY, RI",1090005,295.0,D,E,0,RI,RI,9,412301N,41.38361,0715001W,-71.83361,1.76,0,,,0.131599029
1119500,1,"WILLAMANTIC RIVER NEAR COVENTRY, CT",1100002,121.0,M,E,3,CT,CT,13,414502N,41.75056,0721558W,-72.26611,239.05,0,,,0.656376053
1121000,1,"MOUNT HOPE RIVER NEAR WARRENVILLE, CT",1100002,28.6,D,E,0,CT,CT,15,415035N,41.84306,0721010W,-72.16944,335.68,0,,C,2.776440298
